Feature,Method,API URL,Auth,Usage (what the customer app expects this API for),Request payload / query,Expected response,App status,Notes for backend
"Authentication","POST","/auth/otp/request","Anonymous — do not send Bearer","Phone login screen. Guest tap on cart/wishlist/checkout also lands here.","{ ""phone"": ""string (Indian mobile, E.164 or 10-digit as sent by app)"" }","{ ""challengeId"": ""string"", ""expiresIn"": ""number (seconds)"" }","Implemented","challengeId must stay in the response body only. Do not put it in a URL."
"Authentication","POST","/auth/otp/verify","Anonymous — do not send Bearer","OTP screen. Creates session. App stores accessToken + refreshToken in SecureStore.","{ ""phone"": ""string"", ""challengeId"": ""string"", ""otp"": ""string"" }","{ ""accessToken"": ""string"", ""refreshToken"": ""string"", ""customer"": { ""customerId"": ""string"", ""phone"": ""string"", ""name?"": ""string"", ""email?"": ""string"", ""profileImage?"": ""string"" }, ""isNewUser"": ""boolean"" }","Implemented","Phone + OTP only. No password. Same endpoint for login and register."
"Authentication","POST","/auth/token/refresh","Body refreshToken only (not Bearer of expired access token)","Cold start session restore and 401 interceptor. One in-flight refresh (mutex).","{ ""refreshToken"": ""string"" }","{ ""accessToken"": ""string"", ""refreshToken"": ""string"" }","Implemented","On failure the app signs the customer out and clears RTK cache."
"Authentication","POST","/auth/logout","Bearer required","Profile and Settings logout. App always clears local session even if this fails.","{ ""refreshToken"": ""string (optional)"" }","{ ""ok"": true }","Implemented",""
"Profile","GET","/customers/me","Bearer required","Session restore after refresh; Profile tab; Edit Profile.","None","{ ""customerId"": ""string"", ""phone"": ""string"", ""name?"": ""string"", ""email?"": ""string"", ""profileImage?"": ""string"", ""status?"": ""string"" } Envelope { customer } / { data } / bare object is accepted.","Implemented","Profile image upload is NOT implemented. Display URL only if returned."
"Profile","PATCH","/customers/me","Bearer required","Edit Profile save. Draft is kept on failure.","{ ""name?"": ""string"", ""email?"": ""string|null"" }","Updated customer object (same shape as GET /customers/me).","Implemented","Do not require profileImage. Image multipart is [CONFIRM] and not called."
"Profile — Change phone","POST","/auth/phone/change/request","Bearer required","Change Phone screen. challengeId kept in memory only.","{ ""newPhone"": ""string"" }","{ ""challengeId"": ""string"", ""expiresIn"": ""number"", ""otpLength?"": ""number"" }","Implemented","[CONFIRM] extra request fields. OTP length defaults to 6 if omitted."
"Profile — Change phone","POST","/auth/phone/change/verify","Bearer required","Change Phone OTP screen.","{ ""challengeId"": ""string"", ""otp"": ""string"" }","Updated customer object.","Implemented","[CONFIRM] extra verify fields."
"App lifecycle","GET","/app/config","Public","Bootstrap (after theme restore) and AppState foreground recheck. Failure is FAIL-OPEN (do not assume maintenance).","None","{ ""minVersion?"": ""string"", ""latestVersion?"": ""string"", ""forceUpdate"": ""boolean"", ""maintenanceMode"": ""boolean"", ""maintenanceMessage?"": ""string"", ""storeUrls?"": { ""android?"": ""https|market URL"", ""ios?"": ""https|itms-apps URL"" } } Also accepts minSupportedVersion, maintenance, stores.playStore/appStore.","Implemented","[CONFIRM] storeUrls shape. Numeric semver compare on client. Maintenance takes priority over force update."
"Home","GET","/customer/home","Public (Bearer attached only if logged in)","Home tab. Guest browse allowed.","None","{ ""deliveryContext?"": { ""label"": ""string"", ""addressId?"": ""string"", ""isServiceable?"": ""boolean"" }, ""banners?"": [{ ""id"": ""string"", ""imageUrl"": ""string"", ""title?"": ""string"", ""linkType?"": ""product|category|offer|url"", ""linkId?"": ""string"" }], ""mainCategories?"": [{ ""id"": ""string"", ""name"": ""string"", ""imageUrl?"": ""string"" }], ""subcategories?"": ""same"", ""featuredProducts?"": ""ProductSummary[]"", ""bestSellers?"": ""ProductSummary[]"", ""offers?"": [{ ""id"": ""string"", ""title"": ""string"", ""subtitle?"": ""string"", ""imageUrl?"": ""string"", ""badgeLabel?"": ""string"" }], ""recommendedProducts?"": ""ProductSummary[]"", ""unreadNotificationCount?"": ""number"" }","Implemented","Do not invent Home sections. Inactive mains (Coffee/Pizza/Burgers) omitted until activated. ProductSummary: id, name, imageUrl, pricePaise (integer), compareAtPricePaise?, ratingAverage?, ratingCount?, isWishlisted?, isAvailable?, hasRequiredOptions?."
